words,links,capital_words,spam_word_count,is_spam
480,2,3,0,0
832,1,5,3,1
271,1,0,2,0
653,9,30,9,1
249,0,3,2,0
26,1,2,3,0
327,2,0,10,1
187,1,0,2,0
237,3,1,0,0
458,9,16,5,1
222,2,0,0,0
487,5,6,3,1
161,5,27,6,1
900,3,13,3,1
293,10,19,2,1
802,10,30,8,1
538,3,20,5,1
424,10,1,7,1
539,4,4,3,1
249,0,3,3,0
488,8,20,1,1
855,2,15,3,1
371,4,7,6,1
592,9,26,6,1
240,0,2,0,0
294,1,0,1,0
380,2,5,2,0
185,5,3,2,0
210,2,3,4,0
50,10,4,6,1
850,6,22,10,1
214,3,2,1,0
108,0,0,9,1
613,8,15,4,1
24,4,0,5,0
37,0,2,0,0
87,3,0,2,0
142,1,21,0,1
213,1,0,0,0
290,0,1,1,0
176,1,6,2,0
938,2,6,9,1
182,2,0,5,0
808,6,14,3,1
379,2,11,8,1
32,2,1,4,0
265,0,4,3,0
297,4,21,7,1
156,2,2,1,0
253,2,0,1,0
407,10,10,3,1
429,9,27,9,1
51,0,2,0,0
184,5,1,2,0
221,0,2,1,0
344,1,0,0,0
136,4,16,10,1
101,0,1,6,0
500,5,8,7,1
79,0,2,0,0
683,7,30,4,1
908,2,29,9,1
116,1,3,0,0
159,1,1,1,0
41,0,3,2,0
434,8,20,9,1
776,7,28,7,1
182,0,1,1,0
474,4,13,3,1
198,9,6,10,1
133,3,20,1,1
431,4,5,5,1
573,10,30,3,1
284,9,26,6,1
179,4,1,2,0
433,1,2,2,0
49,2,3,2,0
504,3,0,10,1
159,5,1,2,0
235,0,1,3,0
188,0,0,1,0
106,3,3,1,0
961,2,23,6,1
101,4,0,5,1
136,0,6,2,0
188,2,1,2,0
366,3,0,5,1
882,0,0,9,1
117,2,0,2,0
764,6,14,10,1
202,1,1,2,0
485,1,0,2,0
102,2,0,2,0
35,0,2,1,0
157,2,16,10,1
879,5,7,8,1
217,0,9,2,0
988,8,16,2,1
156,1,3,2,0
965,1,11,6,1
273,1,0,2,0
878,2,4,7,1
864,9,29,4,1
183,2,0,1,0
351,4,27,2,1
128,2,8,3,1
75,0,0,2,0
164,9,25,6,1
523,2,12,4,1
784,4,19,9,1
230,2,3,1,0
261,6,5,5,1
798,5,12,7,1
946,7,16,10,1
223,2,1,2,0
99,0,1,1,0
68,2,2,0,0
158,2,2,1,0
357,6,15,7,1
21,0,6,1,0
172,4,18,7,1
114,8,4,2,1
46,1,3,6,0
280,2,2,2,0
27,4,2,4,0
410,0,0,2,0
162,5,5,9,1
272,1,0,0,0
375,2,0,0,0
283,4,26,6,1
136,1,3,5,0
377,2,0,2,0
265,2,1,2,0
57,1,2,4,0
33,2,1,1,0
125,5,8,3,1
449,5,26,4,1
757,9,30,3,1
785,4,22,6,1
196,10,1,8,1
954,9,8,6,1
218,2,0,4,0
301,8,23,10,1
94,1,2,2,0
118,5,30,7,1
263,1,4,2,0
225,2,1,2,0
897,8,25,2,1
426,0,2,1,0
612,7,16,0,1
89,4,29,3,1
197,0,3,0,0
317,0,1,1,0
339,2,1,2,0
988,6,0,3,1
403,0,2,0,0
410,5,22,9,1
205,0,1,2,0
443,0,0,1,0
40,4,3,0,0
295,4,3,0,0
292,2,3,0,0
254,0,1,2,0
42,2,3,1,0
723,2,3,5,1
342,10,8,4,1
293,1,2,1,0
53,2,2,2,0
343,0,30,10,1
243,4,14,3,1
181,2,12,2,1
340,2,9,8,1
343,5,0,4,1
189,2,2,2,0
123,1,2,0,0
777,5,0,7,1
316,2,13,8,1
81,0,9,1,0
64,0,2,0,0
875,8,9,0,1
933,2,7,3,1
803,10,1,8,1
858,7,20,1,1
236,0,1,3,0
174,0,2,1,0
452,4,20,5,1
856,10,13,0,1
120,0,2,0,0
642,5,6,6,1
68,0,0,2,0
237,0,3,2,0
181,1,3,0,0
379,0,1,0,0
367,2,2,1,0
94,3,2,2,0
167,5,3,4,0
826,7,5,0,1
354,2,2,1,0
819,9,15,4,1
43,2,1,1,0
171,1,0,5,1
466,0,28,9,1
322,5,2,1,0
344,8,14,4,1
528,7,5,8,1
169,0,2,3,0
872,5,0,10,1
269,5,2,1,0
428,3,25,0,1
375,3,3,3,1
640,9,15,8,1
107,2,0,2,0
546,4,7,4,1
115,4,10,0,0
309,0,26,8,1
174,0,3,6,0
860,6,26,8,1
66,0,1,2,0
247,5,2,1,0
335,4,21,9,1
75,1,4,0,0
415,4,21,10,1
145,1,3,0,0
677,7,28,7,1
127,0,0,2,0
80,3,1,6,0
277,1,1,0,0
279,0,1,0,0
274,2,2,2,0
379,3,14,10,1
359,9,7,8,1
136,2,0,5,0
200,2,1,2,0
56,3,1,5,1
458,5,22,9,1
169,2,3,3,0
270,2,3,0,0
952,8,27,5,1
209,3,3,3,0
122,0,8,1,1
557,2,25,1,1
853,2,25,1,1
137,1,3,0,0
121,6,20,9,1
159,6,19,7,1
153,0,3,1,0
82,6,22,1,1
938,5,30,7,1
694,2,16,7,1
560,9,11,0,1
68,1,1,2,0
155,2,1,3,0
255,4,1,4,0
67,7,22,9,1
246,1,2,4,0
909,8,13,7,1
306,2,7,0,0
59,4,1,2,0
102,2,0,0,0
237,3,0,6,0
128,2,3,1,0
79,2,8,5,0
188,0,1,0,0
224,5,7,0,0
155,2,8,1,0
233,1,0,1,0
140,10,18,9,1
520,9,8,10,1
955,5,11,5,1
31,0,3,1,0
89,4,26,4,1
207,4,3,0,0
203,7,28,3,1
192,1,9,2,0
194,2,0,5,0
806,10,23,7,1
405,9,1,4,1
933,8,0,3,1
187,4,28,9,1
83,10,23,10,1
180,5,7,10,1
499,4,0,1,1
199,4,24,8,1
343,4,13,7,1
758,3,28,4,1
147,4,2,4,1
699,3,5,3,1
671,7,7,9,1
254,0,1,1,0
172,9,2,6,1
55,2,10,5,0
152,2,1,2,0
768,5,18,3,1
134,5,1,0,0
264,1,4,1,0
394,9,3,8,1
220,1,0,0,0
101,0,1,1,0
629,9,21,1,1
833,1,19,7,1
232,10,26,3,1
382,5,4,9,1
275,1,2,2,0
250,4,19,5,1
62,1,1,0,0
393,10,5,4,1
243,1,1,0,0
247,2,2,0,0
439,3,27,9,1
489,1,4,5,1
187,0,2,2,0
218,6,18,9,1
175,2,3,1,0
250,10,29,5,1
281,2,11,6,1
146,5,10,5,0
57,2,0,5,0
176,0,1,1,0
149,3,1,2,0
63,0,17,4,1
913,8,3,8,1
30,0,2,4,0
646,4,25,9,1
184,0,4,0,0
55,3,2,10,1
28,0,1,0,0
153,2,4,0,0
181,1,4,3,0
309,2,26,7,1
224,4,26,2,1
146,3,11,4,1
360,3,0,1,0
184,2,10,2,0
381,1,1,0,0
119,0,2,0,0
301,1,9,2,0
295,2,2,1,0
268,2,1,1,0
318,2,3,0,0
447,2,0,0,0
167,0,2,1,0
119,8,24,8,1
32,0,3,1,0
156,1,0,1,0
805,10,3,1,1
115,10,29,8,1
731,4,12,10,1
256,0,1,2,0
505,10,3,6,1
169,1,2,6,0
610,7,4,5,1
101,2,3,1,0
81,1,1,2,0
170,0,3,1,0
295,0,3,1,0
813,9,11,0,1
657,1,17,3,1
266,0,0,0,0
534,7,21,6,1
160,3,2,9,1
156,2,1,0,0
244,2,2,4,0
158,3,0,1,0
200,5,3,2,0
199,2,22,4,1
188,6,19,7,1
226,0,2,2,0
225,2,27,10,1
242,1,0,0,0
150,5,3,2,0
200,3,2,0,0
272,2,3,0,0
123,7,3,3,1
269,0,15,5,1
475,0,0,2,0
164,2,4,2,0
299,5,27,10,1
475,7,15,10,1
195,2,5,0,1
484,2,1,3,0
435,0,1,2,0
496,4,4,0,1
471,6,5,5,1
90,8,23,6,1
219,1,3,1,0
234,1,0,5,0
599,2,18,9,1
180,0,8,4,1
222,2,0,2,0
957,3,19,8,1
193,6,1,8,1
217,2,1,2,0
26,4,1,1,0
194,2,2,4,0
413,8,28,4,1
287,5,14,10,1
147,4,6,3,1
288,4,0,4,0
305,1,5,7,1
28,0,1,0,0
125,2,3,6,0
107,2,0,2,0
827,1,26,10,1
231,0,1,2,0
100,3,11,8,1
979,2,19,6,1
644,8,15,4,1
62,10,1,9,1
299,9,2,3,1
758,10,26,0,1
776,3,30,3,1
160,2,2,2,0
431,1,18,10,1
295,0,1,0,0
733,3,0,5,1
993,5,18,5,1
478,0,9,9,1
263,0,3,2,0
304,10,12,5,1
368,1,13,4,1
266,1,3,2,0
519,6,8,6,1
35,2,2,5,0
656,9,13,3,1
163,2,0,0,0
714,3,28,6,1
185,0,2,2,0
25,4,0,5,0
165,1,2,0,0
573,2,27,5,1
168,2,1,2,0
224,1,3,0,0
508,10,25,5,1
531,4,10,1,1
459,1,0,2,0
438,7,5,6,1
590,5,5,8,1
540,8,0,8,1
959,2,30,6,1
717,8,22,7,1
361,3,14,10,1
781,8,16,7,1
451,10,30,6,1
743,7,19,5,1
495,10,30,10,1
50,0,3,4,1
100,2,10,2,1
35,1,0,2,0
96,0,1,6,0
71,2,0,1,0
121,1,2,3,0
177,6,20,3,1
36,2,2,6,0
810,7,8,9,1
81,6,3,2,1
185,0,3,0,0
211,5,3,1,0
240,1,2,1,0
253,2,6,2,0
83,2,23,3,1
944,2,7,10,1
166,0,0,2,0
383,0,3,1,0
97,0,3,0,0
151,2,1,0,0
113,0,3,2,0
204,1,2,0,0
56,0,3,1,0
335,8,20,1,1
31,2,2,0,0
296,10,0,10,1
283,3,11,9,1
285,0,3,1,0
179,0,3,0,0
133,0,10,2,0
612,8,28,9,1
125,1,3,2,0
83,1,1,0,0
169,0,2,1,0
182,1,0,1,0
167,2,17,6,1
62,0,3,3,0
945,2,9,1,1
283,4,2,2,0
824,2,20,4,1
745,2,5,7,1
195,3,12,9,1
994,2,10,6,1
765,6,9,7,1
200,2,6,0,0
45,2,0,1,0
734,3,22,8,1
445,0,3,2,0
74,1,0,2,0
847,4,19,7,1
591,9,7,4,1
147,0,2,0,0
364,10,24,8,1
120,2,25,9,1
105,10,15,3,1
80,9,8,8,1
92,0,3,1,0
338,6,25,4,1
96,1,0,2,0
314,0,8,5,1
372,9,21,5,1
333,10,0,0,1
350,6,3,5,1
704,2,9,10,1
65,2,8,0,0
279,9,14,3,1
268,0,2,1,0
871,8,6,6,1
236,8,19,7,1
948,8,2,8,1
298,0,2,0,0
589,2,3,10,1
975,5,27,5,1
696,4,3,3,1
200,1,0,0,0
530,10,11,9,1
290,1,2,2,0
532,7,25,4,1
185,0,0,0,0
95,8,13,3,1
892,9,20,3,1
811,8,27,10,1
869,5,24,3,1
161,6,16,4,1
114,0,0,3,0
82,3,17,6,1
238,1,6,2,0
210,3,2,2,0
25,0,2,0,0
269,2,0,5,0
244,2,0,0,0
153,4,3,2,0
214,2,0,6,0
935,9,17,10,1
90,0,2,2,0
165,2,3,5,0
144,6,8,4,1
67,5,2,2,0
130,3,13,5,1
43,1,1,0,0
190,9,18,8,1
192,1,3,0,0
549,3,22,5,1
214,2,21,10,1
28,4,0,0,0
387,0,2,0,0
865,2,14,4,1
283,5,3,0,0
292,5,2,1,0
935,5,28,6,1
118,0,1,5,1
65,3,2,7,1
245,4,8,1,0
245,5,28,7,1
405,5,4,9,1
233,1,2,0,0
86,2,1,2,0
908,3,10,5,1
948,5,26,1,1
686,6,20,7,1
542,2,12,3,1
311,2,23,9,1
133,0,0,1,0
205,1,5,6,0
779,3,23,8,1
841,4,15,9,1
147,7,25,5,1
757,9,12,7,1
558,6,0,10,1
434,0,1,4,0
176,0,3,0,0
49,1,2,1,0
287,2,4,0,0
484,9,7,10,1
115,1,3,1,0
187,4,9,5,1
208,0,3,4,0
163,0,10,2,0
366,0,5,0,0
835,10,4,8,1
189,0,3,1,0
523,10,19,10,1
602,6,12,10,1
172,2,8,4,0
502,2,4,5,1
300,4,18,6,1
653,6,21,2,1
216,0,6,6,0
794,0,27,6,1
259,2,7,7,1
131,7,20,10,1
434,4,8,7,1
514,9,7,7,1
146,2,10,2,0
490,5,7,7,1
300,1,3,0,0
115,0,3,0,0
114,4,2,1,0
106,8,3,6,1
427,3,3,0,0
405,1,1,2,0
165,0,2,0,0
287,1,3,1,0
292,1,0,1,0
860,3,23,5,1
899,2,21,7,1
155,2,25,8,1
535,3,11,3,1
48,0,0,1,0
277,9,24,8,1
196,1,1,2,0
257,1,8,0,0
31,0,3,2,0
175,5,6,9,1
155,1,1,0,0
240,1,1,1,0
172,2,1,1,0
247,10,2,6,1
718,2,4,8,1
879,0,12,1,1
800,3,15,3,1
211,1,2,2,0
565,10,14,10,1
397,2,11,1,1
89,2,2,2,0
99,2,16,9,1
201,1,0,2,0
610,8,18,3,1
713,5,5,8,1
260,1,2,2,0
281,1,1,2,0
68,8,2,8,1
123,0,3,0,0
56,2,3,0,0
574,9,1,5,1
213,2,1,1,0
184,2,3,1,0
164,1,3,1,0
503,10,13,3,1
201,0,7,2,0
216,2,3,2,0
400,0,10,0,0
90,1,3,2,0
97,2,2,0,0
85,1,3,3,0
155,0,7,0,0
249,0,3,2,0
155,9,30,1,1
112,1,0,6,0
95,1,3,1,0
177,2,1,1,0
95,5,3,7,1
218,1,7,3,0
687,3,13,1,1
174,10,18,7,1
94,9,7,1,1
248,2,1,1,0
229,5,10,0,0
48,1,1,0,0
837,7,26,3,1
941,5,16,4,1
188,7,10,7,1
751,6,1,9,1
364,0,1,0,0
792,6,28,7,1
638,10,20,2,1
25,1,2,1,0
157,2,13,5,1
57,0,2,0,0
727,8,11,8,1
665,8,6,5,1
139,2,10,0,0
242,2,2,2,0
98,2,2,0,0
199,0,2,4,0
168,3,27,5,1
408,1,0,1,0
259,3,3,3,0
140,3,24,8,1
140,5,5,8,1
615,2,14,4,1
254,0,0,1,0
797,9,9,6,1
23,0,1,1,0
85,4,16,10,1
845,9,28,5,1
148,2,15,3,1
369,2,4,6,0
288,5,0,1,0
78,9,29,9,1
529,5,9,7,1
213,2,10,4,0
239,2,26,10,1
262,1,2,5,0
131,8,10,3,1
26,1,2,1,0
610,8,20,5,1
900,9,6,6,1
460,4,0,1,0
133,0,20,6,1
52,2,0,0,0
154,2,1,2,0
335,2,1,1,0
262,2,0,0,0
210,5,2,1,0
167,3,4,4,1
791,8,19,8,1
106,7,8,3,1
113,10,9,6,1
131,0,10,4,1
51,1,1,0,0
620,6,8,0,1
179,0,2,0,0
776,10,9,3,1
93,1,5,1,0
257,0,2,0,0
205,0,2,1,0
84,1,14,10,1
33,1,3,1,0
376,2,26,7,1
257,4,3,1,0
333,10,7,10,1
675,9,26,2,1
170,2,2,2,0
250,3,7,0,0
218,2,3,1,0
277,3,0,1,0
191,6,19,8,1
49,0,8,1,0
957,1,9,2,1
164,2,26,10,1
351,2,23,0,1
665,7,29,10,1
79,2,3,6,0
732,10,18,8,1
34,1,1,1,0
33,1,2,2,0
124,9,7,6,1
324,5,25,8,1
288,1,2,4,0
457,0,2,0,0
74,1,1,0,0
631,6,22,0,1
189,2,3,2,0
846,0,4,4,1
166,2,0,1,0
99,4,2,0,0
111,0,3,3,0
210,2,1,0,0
38,2,0,6,0
125,2,6,0,0
132,2,2,0,0
803,0,16,5,1
890,10,28,8,1
49,0,2,4,0
92,4,5,2,0
889,3,16,8,1
167,5,1,1,0
190,3,26,2,1
141,1,2,1,0
710,9,14,0,1
240,4,0,1,1
891,3,18,4,1
187,4,10,3,0
331,3,8,10,1
207,0,3,1,0
169,1,0,6,0
143,1,9,5,1
135,3,23,9,1
418,1,21,6,1
137,0,3,1,0
732,0,5,7,1
678,9,16,3,1
206,3,1,1,0
205,1,0,2,0
211,1,9,0,0
326,1,0,1,0
391,2,2,6,0
987,1,2,1,1
161,3,3,0,0
216,7,23,10,1
200,1,1,1,0
244,9,4,10,1
126,3,21,9,1
719,4,5,5,1
60,1,0,0,0
908,5,4,8,1
514,5,7,10,1
281,1,4,2,0
168,0,7,10,1
45,0,0,5,0
314,0,2,0,0
963,5,24,1,1
303,2,12,9,1
166,1,2,4,0
579,3,7,10,1
419,8,8,6,1
388,7,1,8,1
302,2,1,0,0
140,8,26,8,1
237,2,2,1,0
210,0,1,1,0
923,2,17,1,1
742,7,6,3,1
183,4,2,3,0
390,2,3,6,0
238,2,2,5,0
125,1,0,2,0
127,2,5,2,0
177,0,3,4,0
73,8,11,9,1
288,1,2,5,0
708,3,7,8,1
270,1,3,0,0
469,0,10,3,1
48,5,9,1,0
431,9,21,2,1
637,2,27,6,1
21,0,1,2,0
80,10,25,7,1
20,1,3,0,0
161,8,26,9,1
37,2,2,2,0
644,2,23,6,1
78,6,21,3,1
602,10,30,5,1
534,3,6,0,1
83,10,5,4,1
115,6,20,3,1
911,3,18,8,1
91,3,3,0,0
289,0,0,0,0
151,1,0,1,0
903,5,5,3,1
352,0,3,0,0
170,2,0,0,0
175,1,13,6,1
133,0,2,0,0
546,0,22,7,1
750,7,4,10,1
761,5,29,7,1
583,2,10,6,1
951,9,2,4,1
110,1,2,0,0
61,1,2,1,0
909,1,2,3,1
97,7,4,6,1
250,2,3,6,0
959,2,30,3,1
193,7,18,1,1
979,5,1,7,1
283,0,2,1,0
269,0,1,0,0
240,0,3,5,0
589,10,8,8,1
60,0,0,0,0
125,8,28,10,1
27,0,1,2,0
295,2,1,1,0
294,2,3,3,0
394,3,22,0,1
109,2,10,0,1
943,10,24,9,1
679,7,14,7,1
498,8,17,10,1
277,2,1,1,0
388,1,9,8,1
237,6,0,5,1
493,9,6,9,1
446,0,2,0,0
168,3,6,0,1
68,2,3,2,0
145,3,26,3,1
705,9,23,9,1
174,1,0,4,1
57,5,16,6,1
125,1,0,0,0
665,3,4,10,1
198,3,22,10,1
245,0,0,0,0
199,2,8,2,0
139,6,3,7,1
121,8,10,8,1
185,1,0,7,1
273,2,26,6,1
99,10,8,7,1
269,1,8,0,0
208,0,0,0,0
324,1,10,3,1
162,8,12,8,1
256,2,3,1,0
977,3,5,6,1
170,2,11,10,1
195,9,14,0,1
174,2,2,2,0
392,0,19,1,1
547,3,2,3,1
129,10,1,5,1
896,3,17,8,1
721,3,5,0,1
289,0,0,0,0
268,4,1,1,0
736,5,29,9,1
736,3,3,9,1
392,7,10,2,1
403,3,4,4,1
220,5,3,1,0
962,10,24,3,1
977,7,8,4,1
465,4,12,4,1
224,10,29,10,1
291,4,1,10,1
70,4,5,6,1
498,7,10,5,1
127,2,0,4,0
419,2,10,3,1
161,4,8,8,1
973,9,27,9,1
767,5,4,6,1
749,2,0,4,1
955,8,30,7,1
359,9,2,6,1
247,1,3,0,0
275,1,5,0,0
81,10,22,8,1
838,2,2,3,1
464,2,3,1,0
810,7,16,4,1
432,9,14,3,1
935,5,18,9,1
579,3,9,7,1
133,0,1,0,0
82,5,30,8,1
417,4,4,8,1
176,0,11,1,1
231,1,3,6,0
525,3,20,1,1
100,2,1,2,0
208,2,8,1,0
496,2,3,0,0
143,8,30,6,1
219,1,8,1,1
799,2,5,8,1
131,2,6,6,1
345,2,8,6,1
422,7,2,7,1
299,0,2,0,0
107,1,1,0,0
983,3,14,5,1
489,2,26,8,1
143,9,27,4,1
285,2,6,2,0
917,2,17,3,1
242,4,0,1,0
75,1,0,2,0
22,1,3,4,0
97,2,3,0,0
255,2,26,1,1
676,5,24,5,1
82,2,0,1,0
188,1,7,0,0
314,6,26,10,1
182,1,0,0,0
212,5,1,3,0
679,3,16,5,1
290,1,0,0,0
179,2,20,0,1
118,4,6,10,1
135,3,17,9,1
400,10,27,10,1
174,0,24,4,1
524,2,11,4,1
806,7,19,3,1
108,4,16,9,1
357,1,3,1,0
39,2,3,2,0
350,8,29,6,1
88,3,2,2,0
777,2,5,4,1
884,9,30,10,1
238,1,0,0,0
76,4,8,8,1
188,1,3,2,0
273,1,1,2,0
85,6,4,3,1
670,2,13,10,1
966,10,20,10,1
301,10,3,6,1
56,1,2,2,0
100,5,3,2,0
278,10,11,6,1
201,2,16,8,1
936,3,29,4,1
121,7,29,3,1
248,0,12,6,1
91,5,4,4,1
71,6,14,5,1
138,0,10,9,1
486,9,27,3,1
179,0,1,2,0
28,4,1,1,0
265,2,2,4,0
482,2,0,2,0
383,10,10,1,1
949,8,19,9,1
696,6,7,4,1
88,9,27,6,1
232,1,0,1,0
213,0,0,4,0
177,3,19,4,1
526,2,24,6,1
255,2,3,2,0
152,2,23,10,1
245,2,2,2,0
23,0,1,5,0
637,3,30,1,1
248,2,1,2,0
778,4,28,6,1
295,0,2,1,0
87,1,3,1,0
204,1,1,3,0
405,7,17,8,1
304,1,6,2,0
29,1,3,2,0
195,7,17,5,1
647,5,17,10,1
113,3,3,1,0
63,1,6,0,0
35,0,1,1,0
559,10,21,10,1
139,5,11,5,1
732,6,27,7,1
29,0,2,0,0
752,6,24,3,1
452,5,24,3,1
243,1,5,2,0
127,1,1,1,0
131,5,10,2,1
142,0,0,2,0
256,1,1,2,0
142,0,2,0,0
60,1,0,0,0
336,2,9,9,1
438,2,3,2,0
202,1,1,1,0
309,3,3,10,1
640,4,2,0,1
332,7,5,6,1
286,0,9,1,0
277,0,1,1,0
853,10,18,3,1
652,5,3,3,1
165,1,1,1,0
819,3,28,0,1
95,1,3,1,0
219,0,2,1,0
213,7,7,2,1
203,2,24,2,1
188,2,1,1,0
45,0,2,2,0
477,2,29,3,1
828,4,17,1,1
116,1,5,0,0
212,2,0,0,0
288,10,21,3,1
258,2,0,0,0
49,2,3,2,0
199,7,5,4,1
232,2,30,6,1
118,9,10,5,1
781,8,22,2,1
229,0,4,6,0
183,2,9,0,0
150,0,1,1,0
212,0,0,2,0
168,1,0,1,0
444,8,0,6,1
336,4,2,0,0
119,2,9,6,1
695,3,25,10,1
170,5,1,0,0
254,1,2,2,0
40,1,5,0,0
302,7,15,0,1
206,0,2,0,0
919,0,16,8,1
244,2,0,6,0
34,0,0,2,0
459,7,27,3,1
39,0,0,0,0
93,4,0,6,0
244,3,1,2,0
414,8,11,10,1
121,5,3,0,0
401,0,1,0,0
290,8,6,7,1
900,2,2,1,1
199,2,2,0,0
146,0,1,2,0
124,2,0,2,0
67,0,6,5,0
159,0,1,2,0
910,9,9,5,1
61,1,2,2,0
184,10,24,9,1
137,2,30,10,1
146,0,3,0,0
473,1,0,2,0
651,10,1,9,1
195,10,25,3,1
62,7,21,7,1
453,1,7,0,1
65,5,2,2,0
44,0,0,6,0
292,1,3,1,0
198,3,3,2,0
183,1,23,3,1
284,2,3,1,0
134,1,1,3,0
288,7,18,3,1
73,5,0,3,1
157,8,0,10,1
694,5,11,1,1
521,1,5,9,1
239,1,8,1,0
458,1,3,9,1
325,9,11,5,1
71,2,2,1,0
242,1,1,3,0
937,3,20,4,1
828,8,12,4,1
91,0,3,0,0
735,7,30,1,1
308,0,2,2,0
511,3,15,10,1
23,1,2,0,0
206,0,0,4,0
153,2,3,1,0
376,8,19,8,1
159,0,23,0,1
123,3,5,4,1
396,1,15,0,1
110,3,0,2,0
558,0,10,5,1
618,6,20,10,1
56,2,2,1,0
103,0,1,0,0
469,4,3,5,1
63,1,2,0,0
160,0,3,2,0
649,9,5,9,1
291,1,1,2,0
83,0,3,2,0
119,0,27,7,1
94,0,1,2,0
177,0,0,0,0
165,0,10,1,0
53,1,3,2,0
498,3,10,4,1
270,2,3,1,0
258,0,2,2,0
105,2,8,0,0
150,1,10,1,0
58,4,3,2,0
74,2,3,4,0
208,2,15,0,1
197,0,0,1,0
286,3,2,2,0
250,9,4,2,1
26,1,3,0,0
72,9,25,3,1
237,0,6,0,0
83,2,16,3,1
243,10,23,7,1
283,0,0,1,0
96,1,2,6,0
120,1,3,0,0
57,3,24,6,1
577,6,1,5,1
47,1,8,1,0
210,0,0,1,0
328,0,12,6,1
210,0,0,4,0
622,7,9,1,1
270,0,4,5,0
715,6,26,5,1
394,8,25,8,1
275,0,1,0,0
123,1,3,1,0
299,1,8,2,0
195,9,0,8,1
220,3,13,3,1
239,0,1,2,0
809,2,28,6,1
468,0,0,0,0
451,2,18,7,1
602,2,7,5,1
282,1,1,1,0
290,0,1,0,0
76,0,7,6,0
157,2,0,2,0
239,1,0,2,0
174,4,7,2,0
45,0,1,2,0
161,4,4,1,1
536,0,13,6,1
36,0,3,2,0
132,3,5,10,1
300,0,1,1,0
179,5,9,9,1
76,5,0,2,0
185,3,3,3,0
207,2,9,2,0
192,3,16,3,1
695,2,0,3,1
929,7,19,1,1
52,2,3,0,0
159,2,6,8,1
830,5,29,5,1
122,2,2,2,0
87,0,1,0,0
173,1,7,2,1
526,8,23,9,1
923,4,22,6,1
347,9,8,0,1
197,1,1,4,0
694,3,23,5,1
464,2,3,1,1
784,2,5,10,1
177,2,2,1,0
75,3,0,1,0
905,4,5,8,1
26,0,6,3,0
251,3,27,6,1
146,4,0,6,0
99,2,3,3,0
